class,roll_no,full_name,bengali,english,maths,total,rank
4,1,Amit,78,56,78,212,8
4,2,Rohan Pal,45,78,81,204,10
4,3,Sumit Das,89,96,94,279,5
4,4,Amit Rana,78,85,91,254,6
4,5,Ajay Basu,45,99,63,207,9
5,1,Amit,86,78,46,210,5
5,2,Sumit Das,96,92,75,263,1
5,3,Rajan Mullick,85,45,62,192,6
5,4,Amit Chihan,78,76,80,234,3
5,5,Raj Gogoi,63,83,76,222,4
5,6,Ayan Haldar,85,72,90,247,2
4,6,Rohan,500,89,78,667,2
4,7,Rajesh,75,499,46,620,4
4,8,Akshay,102,450,85,637,3
4,9,Goutam,45,780,120,945,1
4,10,Rupayan,0,79,89,168,13
4,11,Rajan,75,56,56,187,12
4,12,Moumita,80,90,78,248,7
4,13,Susmita,80,78,46,204,10
1,1,Rahim,78,89,78,245,1
1,2,Subhendu,45,45,46,136,4
1,3,Dilip,85,0,80,165,2
1,4,Agnimitra,89,0,75,164,3
